"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","Species","sp_idx"
"alpha[54]",-0.296294466503778,0.000554457944282456,0.0389877733891599,-0.390460231550239,-0.317261003807494,-0.289866774760212,-0.268989068629978,-0.237411332761537,4944.46885216358,0.999832181276532,"Urobatis halleri",54
"alpha[49]",-0.296004092066408,0.000517016360403923,0.0387048829644124,-0.384645891962101,-0.317425489675089,-0.291101505040428,-0.268496631524571,-0.235155730031119,5604.32025792901,0.999542970936826,"Torpedo californicus",49
"alpha[38]",-0.295292529945365,0.000556349768429911,0.0385312139499903,-0.387409801929507,-0.316387840332487,-0.290547592939699,-0.268400639622112,-0.233405096791549,4796.55645744124,0.999743289716904,"Roncador stearnsii",38
"alpha[51]",-0.220964253170885,0.000414151359013558,0.0265647847111074,-0.283141737530874,-0.235698742926034,-0.218374698878717,-0.203820170979905,-0.174366471714313,4114.28544764369,0.999520595939449,"Triakis semifasciata",51
"alpha[22]",-0.173288385152645,0.000176526264937373,0.0100729669096607,-0.194859077321978,-0.178882854921021,-0.172919816993271,-0.167499552554996,-0.154107966649833,3256.088122731,1.00135014305678,"Myliobatis californica",22
"alpha[5]",-0.154234443452736,7.72760173983249e-05,0.0048036643636817,-0.164061283551917,-0.156994476457455,-0.154138787227765,-0.15143524193313,-0.144698440974015,3864.16664404997,0.999982559440915,"Carcharodon carcharias",5
"alpha[37]",-0.153518713065479,5.87184729451251e-05,0.00409297155095598,-0.161695788944866,-0.156004463557852,-0.153478142066521,-0.15100440965164,-0.145761617739441,4858.7879611892,0.999905153313912,"Rhinobatos productus",37
"alpha[42]",-0.151715589126727,0.000673467399649877,0.0332325619588766,-0.21327748145838,-0.17221586715267,-0.153762481812178,-0.133583513272895,-0.0792872936435009,2434.97491032365,1.0002112890924,"Squalus acanthias",42
"alpha[3]",-0.149512449211431,0.000190078593492124,0.0103731946259477,-0.169415457574406,-0.155322292977188,-0.150109208025768,-0.144292328829097,-0.125750481707409,2978.23273853597,1.00045438876542,"Bathyraja abyssicola",3
"alpha[43]",-0.148518726557229,0.000116319990809752,0.00669214213734491,-0.161981530076056,-0.152342555463921,-0.148356128022147,-0.144821083040789,-0.134697250651555,3309.95122955399,1.00076319808958,"Squatina californica",43
"alpha[21]",-0.130095445696822,4.62154007018997e-05,0.00305243601150028,-0.13605491847132,-0.131907183138139,-0.13010272155552,-0.128304145815957,-0.123973926672142,4362.3418080692,0.999495701248607,"Mustelus californicus",21
"alpha[6]",-0.0990657859974486,4.13227593236025e-05,0.00249740568188182,-0.104244135269082,-0.100423428605493,-0.0989921095749059,-0.0976669216521769,-0.0941724955936827,3652.57854122591,1.00091097733081,"Chromis punctipinnis",6
"alpha[48]",-0.0824657722845095,0.000667751890495269,0.032854978694337,-0.146099544788867,-0.10314164968568,-0.0831722209377793,-0.0620469903714264,-0.0152303460784243,2420.8736719274,1.0019556171043,"Thaleichthys pacificus",48
"alpha[20]",-0.0799366447837822,0.000132197333521332,0.00740783918228717,-0.095300576964564,-0.0841663129948751,-0.0798938930112807,-0.0755845968025807,-0.0653036445528119,3140.0582212004,1.00007019979093,"Merluccius productus",20
