Species,Barcode,Community,DNA_Ratio,DNA_conc_ng_uL,Total_DNA,Note
Citharichthys sordidus,12S,Skew_Oceanic_1,6,18,108,
Citharichthys stigmaeus,12S,Skew_Oceanic_1,1,18,18,
Citharichthys xanthostigma,12S,Skew_Oceanic_1,1,18,18,
Engraulis mordax,12S,Skew_Oceanic_1,1,18,18,
Leuroglossus stilbius,12S,Skew_Oceanic_1,1,18,18,
Merluccius productus,12S,Skew_Oceanic_1,1,18,18,
Nannobrachium ritteri,12S,Skew_Oceanic_1,1,18,18,
Sardinops sagax,12S,Skew_Oceanic_1,6,18,108,
Sebastes paucispinis,12S,Skew_Oceanic_1,1,18,18,
Stenobrachius leucopsarus,12S,Skew_Oceanic_1,1,18,18,
Trachurus symmetricus,12S,Skew_Oceanic_1,6,18,108,
Triphoturus mexicanus,12S,Skew_Oceanic_1,6,18,108,
Citharichthys sordidus,12S,Skew_Oceanic_2,1,18,18,
Citharichthys stigmaeus,12S,Skew_Oceanic_2,6,18,108,
Citharichthys xanthostigma,12S,Skew_Oceanic_2,1,18,18,
Engraulis mordax,12S,Skew_Oceanic_2,6,18,108,
Leuroglossus stilbius,12S,Skew_Oceanic_2,1,18,18,potential pipetting error (<2 µL off)
Merluccius productus,12S,Skew_Oceanic_2,1,18,18,
Nannobrachium ritteri,12S,Skew_Oceanic_2,6,18,108,
Sardinops sagax,12S,Skew_Oceanic_2,1,18,18,
Sebastes paucispinis,12S,Skew_Oceanic_2,6,18,108,potential pipetting error (<2 µL off)
Stenobrachius leucopsarus,12S,Skew_Oceanic_2,1,18,18,
Trachurus symmetricus,12S,Skew_Oceanic_2,1,18,18,
Triphoturus mexicanus,12S,Skew_Oceanic_2,1,18,18,
Hippoglossus stenolepis,12S,North_Skew_1,1,20,20,
Oncorhynchus clarkii,12S,North_Skew_1,1,20,20,
Oncorhynchus gorbuscha,12S,North_Skew_1,6,20,120,
Oncorhynchus keta,12S,North_Skew_1,1,20,20,
Oncorhynchus kisutch,12S,North_Skew_1,1,20,20,
Oncorhynchus mykiss,12S,North_Skew_1,1,20,20,
Oncorhynchus nerka,12S,North_Skew_1,1,20,20,
Oncorhynchus tshawytscha,12S,North_Skew_1,6,20,120,
Ophiodon elongatus,12S,North_Skew_1,6,20,120,
Scorpaenichthys marmoratus,12S,North_Skew_1,6,20,120,
Squalus acanthias,12S,North_Skew_1,1,20,20,
Thaleichthys pacificus,12S,North_Skew_1,1,20,20,
Hippoglossus stenolepis,12S,North_Skew_2,6,20,120,
Oncorhynchus clarkii,12S,North_Skew_2,1,20,20,
Oncorhynchus gorbuscha,12S,North_Skew_2,1,20,20,
Oncorhynchus keta,12S,North_Skew_2,1,20,20,
Oncorhynchus kisutch,12S,North_Skew_2,6,20,120,
Oncorhynchus mykiss,12S,North_Skew_2,1,20,20,
Oncorhynchus nerka,12S,North_Skew_2,6,20,120,
Oncorhynchus tshawytscha,12S,North_Skew_2,1,20,20,
Ophiodon elongatus,12S,North_Skew_2,1,20,20,
Scorpaenichthys marmoratus,12S,North_Skew_2,1,20,20,
Squalus acanthias,12S,North_Skew_2,6,20,120,
Thaleichthys pacificus,12S,North_Skew_2,1,20,20,
Bodianus pulcher,12S,Coastal_Skew_1,1,20,20,
Chromis punctipinnis,12S,Coastal_Skew_1,1,20,20,
Citharichthys sordidus,12S,Coastal_Skew_1,1,20,20,
Engraulis mordax,12S,Coastal_Skew_1,6,20,120,
Girella nigricans,12S,Coastal_Skew_1,1,20,20,
Halichoeres californica,12S,Coastal_Skew_1,6,20,120,
Halichoeres semicinctus,12S,Coastal_Skew_1,6,20,120,
Myliobatis californica,12S,Coastal_Skew_1,1,20,20,
Paralabrax clathratus,12S,Coastal_Skew_1,6,20,120,
Sardinops sagax,12S,Coastal_Skew_1,1,20,20,
Stereolepis gigas,12S,Coastal_Skew_1,1,20,20,
Triakis semifasciata,12S,Coastal_Skew_1,1,20,20,
Bodianus pulcher,12S,Coastal_Skew_2,6,21,126,
Chromis punctipinnis,12S,Coastal_Skew_2,6,22,132,
Citharichthys sordidus,12S,Coastal_Skew_2,1,23,23,
Engraulis mordax,12S,Coastal_Skew_2,1,24,24,
Girella nigricans,12S,Coastal_Skew_2,1,25,25,
Halichoeres californica,12S,Coastal_Skew_2,1,26,26,
Halichoeres semicinctus,12S,Coastal_Skew_2,1,27,27,
Myliobatis californica,12S,Coastal_Skew_2,1,28,28,
Paralabrax clathratus,12S,Coastal_Skew_2,1,29,29,
Sardinops sagax,12S,Coastal_Skew_2,1,30,30,
Stereolepis gigas,12S,Coastal_Skew_2,6,31,186,
Triakis semifasciata,12S,Coastal_Skew_2,6,32,192,potential pipetting error (<2 µL off)
Citharichthys sordidus,12S,Coastal_Even,1,30,30,
Citharichthys stigmaeus,12S,Coastal_Even,1,30,30,
Citharichthys xanthostigma,12S,Coastal_Even,1,30,30,
Engraulis mordax,12S,Coastal_Even,1,30,30,
Sardinops sagax,12S,Coastal_Even,1,30,30,
Sebastes paucispinis,12S,Coastal_Even,1,30,30,
Ophiodon elongatus,12S,Coastal_Even,1,30,30,
Paralabrax clathratus,12S,Coastal_Even,1,30,30,
Paralabrax maculatofasciatus,12S,Coastal_Even,1,30,30,
Paralabrax nebulifer,12S,Coastal_Even,1,30,30,
Scorpaenichthys marmoratus,12S,Coastal_Even,1,30,30,
Atractoscion nobilis,12S,Coastal_Even,1,30,30,
Bodianus pulcher,12S,Coastal_Even,1,30,30,
Carcharodon carcharias,12S,Coastal_Even,1,30,30,
Chromis punctipinnis,12S,Coastal_Even,1,30,30,
Girella nigricans,12S,Coastal_Even,1,30,30,
Halichoeres californica,12S,Coastal_Even,1,30,30,
Halichoeres semicinctus,12S,Coastal_Even,1,30,30,
Hypsopsetta guttulata,12S,Coastal_Even,1,30,30,
Hypsypops rubicundus,12S,Coastal_Even,1,30,30,
Menticirrhus undulatus,12S,Coastal_Even,1,30,30,
Mustelus californicus,12S,Coastal_Even,1,30,30,
Myliobatis californica,12S,Coastal_Even,1,30,30,
Roncador stearnsii,12S,Coastal_Even,1,30,30,
Paralichthys californicus,12S,Coastal_Even,1,30,30,
Rhinobatos productus,12S,Coastal_Even,1,30,30,
Squatina californica,12S,Coastal_Even,1,30,30,
Stereolepis gigas,12S,Coastal_Even,1,30,30,
Symphurus atricauda,12S,Coastal_Even,1,30,30,
Torpedo californicus,12S,Coastal_Even,1,30,30,
Triakis semifasciata,12S,Coastal_Even,1,30,30,
Umbrina roncador,12S,Coastal_Even,1,30,30,
Urobatis halleri,12S,Coastal_Even,1,30,30,
Citharichthys sordidus,12S,Oceanic_Even,1,30,30,
Citharichthys stigmaeus,12S,Oceanic_Even,1,30,30,
Citharichthys xanthostigma,12S,Oceanic_Even,1,30,30,
Engraulis mordax,12S,Oceanic_Even,1,30,30,
Sardinops sagax,12S,Oceanic_Even,1,30,30,
Sebastes paucispinis,12S,Oceanic_Even,1,30,30,
Bathylagoides wesethi,12S,Oceanic_Even,1,30,30,
Diogenichthys atlanticus,12S,Oceanic_Even,1,30,30,
Leuroglossus stilbius,12S,Oceanic_Even,1,30,30,
Lipolagus ochotensis,12S,Oceanic_Even,1,30,30,
Merluccius productus,12S,Oceanic_Even,1,30,30,
Nannobrachium ritteri,12S,Oceanic_Even,1,30,30,
Protomyctophum crockeri,12S,Oceanic_Even,1,30,30,
Stenobrachius leucopsarus,12S,Oceanic_Even,1,30,30,
Symbolophorus californiensis,12S,Oceanic_Even,1,30,30,
Trachurus symmetricus,12S,Oceanic_Even,1,30,30,
Triphoturus mexicanus,12S,Oceanic_Even,1,30,30,
Vinciguerria lucetia,12S,Oceanic_Even,1,30,30,
Citharichthys sordidus,12S,North_Even,1,30,30,
Citharichthys stigmaeus,12S,North_Even,1,30,30,
Citharichthys xanthostigma,12S,North_Even,1,30,30,
Engraulis mordax,12S,North_Even,1,30,30,
Sardinops sagax,12S,North_Even,1,30,30,
Sebastes paucispinis,12S,North_Even,1,30,30,
Ophiodon elongatus,12S,North_Even,1,30,30,
Paralabrax clathratus,12S,North_Even,1,30,30,
Paralabrax maculatofasciatus,12S,North_Even,1,30,30,
Paralabrax nebulifer,12S,North_Even,1,30,30,
Scorpaenichthys marmoratus,12S,North_Even,1,30,30,
Bathyraja abyssicola,12S,North_Even,1,30,30,
Hippoglossus stenolepis,12S,North_Even,1,30,30,
Oncorhynchus clarkii,12S,North_Even,1,30,30,
Oncorhynchus gorbuscha,12S,North_Even,1,30,30,
Oncorhynchus keta,12S,North_Even,1,30,30,
Oncorhynchus kisutch,12S,North_Even,1,30,30,
Oncorhynchus mykiss,12S,North_Even,1,30,30,
Oncorhynchus nerka,12S,North_Even,1,30,30,
Oncorhynchus tshawytscha,12S,North_Even,1,30,30,
Squalus acanthias,12S,North_Even,1,30,30,
Thaleichthys pacificus,12S,North_Even,1,30,30,
Citharichthys sordidus,16S,Skew_Oceanic_1,6,12,72,
Citharichthys stigmaeus,16S,Skew_Oceanic_1,1,12,12,
Citharichthys xanthostigma,16S,Skew_Oceanic_1,1,12,12,
Engraulis mordax,16S,Skew_Oceanic_1,1,12,12,
Leuroglossus stilbius,16S,Skew_Oceanic_1,1,12,12,
Merluccius productus,16S,Skew_Oceanic_1,1,12,12,
Nannobrachium ritteri,16S,Skew_Oceanic_1,1,12,12,
Sebastes paucispinis,16S,Skew_Oceanic_1,1,12,12,
Stenobrachius leucopsarus,16S,Skew_Oceanic_1,6,12,72,
Trachurus symmetricus,16S,Skew_Oceanic_1,6,12,72,
Triphoturus mexicanus,16S,Skew_Oceanic_1,6,12,72,
Protomyctophum crockeri,16S,Skew_Oceanic_1,1,12,12,
Citharichthys sordidus,16S,Skew_Oceanic_2,1,12,12,
Citharichthys stigmaeus,16S,Skew_Oceanic_2,6,12,72,
Citharichthys xanthostigma,16S,Skew_Oceanic_2,1,12,12,
Engraulis mordax,16S,Skew_Oceanic_2,6,12,72,
Leuroglossus stilbius,16S,Skew_Oceanic_2,1,12,12,
Merluccius productus,16S,Skew_Oceanic_2,6,12,72,
Nannobrachium ritteri,16S,Skew_Oceanic_2,6,12,72,
Sebastes paucispinis,16S,Skew_Oceanic_2,1,12,12,
Stenobrachius leucopsarus,16S,Skew_Oceanic_2,1,12,12,
Trachurus symmetricus,16S,Skew_Oceanic_2,1,12,12,
Triphoturus mexicanus,16S,Skew_Oceanic_2,1,12,12,
Protomyctophum crockeri,16S,Skew_Oceanic_2,1,12,12,
Hippoglossus stenolepis,16S,North_Skew_1,1,14,14,
Oncorhynchus clarkii,16S,North_Skew_1,1,14,14,
Oncorhynchus gorbuscha,16S,North_Skew_1,1,14,14,
Oncorhynchus keta,16S,North_Skew_1,1,14,14,
Oncorhynchus kisutch,16S,North_Skew_1,1,14,14,
Oncorhynchus mykiss,16S,North_Skew_1,1,14,14,
Oncorhynchus nerka,16S,North_Skew_1,1,14,14,
Oncorhynchus tshawytscha,16S,North_Skew_1,6,14,84,
Ophiodon elongatus,16S,North_Skew_1,6,14,84,
Scorpaenichthys marmoratus,16S,North_Skew_1,6,14,84,
Squalus acanthias,16S,North_Skew_1,1,14,14,
Thaleichthys pacificus,16S,North_Skew_1,6,14,84,
Hippoglossus stenolepis,16S,North_Skew_2,6,14,84,
Oncorhynchus clarkii,16S,North_Skew_2,1,14,14,
Oncorhynchus gorbuscha,16S,North_Skew_2,1,14,14,
Oncorhynchus keta,16S,North_Skew_2,1,14,14,
Oncorhynchus kisutch,16S,North_Skew_2,6,14,84,
Oncorhynchus mykiss,16S,North_Skew_2,1,14,14,
Oncorhynchus nerka,16S,North_Skew_2,6,14,84,
Oncorhynchus tshawytscha,16S,North_Skew_2,1,14,14,
Ophiodon elongatus,16S,North_Skew_2,1,14,14,
Scorpaenichthys marmoratus,16S,North_Skew_2,1,14,14,
Squalus acanthias,16S,North_Skew_2,6,14,84,
Thaleichthys pacificus,16S,North_Skew_2,1,14,14,
Bodianus pulcher,16S,Coastal_Skew_1,1,12,12,
Chromis punctipinnis,16S,Coastal_Skew_1,1,12,12,
Citharichthys sordidus,16S,Coastal_Skew_1,1,12,12,
Engraulis mordax,16S,Coastal_Skew_1,1,12,12,
Girella nigricans,16S,Coastal_Skew_1,1,12,12,
Halichoeres californica,16S,Coastal_Skew_1,6,12,72,
Halichoeres semicinctus,16S,Coastal_Skew_1,6,12,72,
Myliobatis californica,16S,Coastal_Skew_1,6,12,72,
Paralabrax clathratus,16S,Coastal_Skew_1,1,12,12,
Stereolepis gigas,16S,Coastal_Skew_1,1,12,12,
Triakis semifasciata,16S,Coastal_Skew_1,1,12,12,
