Seq_number,Seq_number_2,Temp. Field Bottle ID,Sample_date,LabID,Sample_ID,Month,New_name,Site_code,Site,Bio_rep,Depth_code,Depth,Tech_rep,PCR_Cycles,Index Cycles,Project,Sample_Control,Control_Type,Date_Sampled,River
Kenai.seqrun1.001.S1.L001,c19_fishcard_Kenai.seqrun1.001.S1.L001,"2, 1A",11/14/20,52386_08-09,Kenai_seqrun1_001,Nov.20,Bridge_Surface_Nov.20_1,2,Bridge,1,A,Surface,NA,39,8,Kenai,Sample,NA,14-Nov,Kenai
Kenai.seqrun1.002.S2.L001,c19_fishcard_Kenai.seqrun1.002.S2.L001,"2, 1A",5/29/21,52386_107-213,Kenai_seqrun1_002,May,Bridge_Surface_May_1,2,Bridge,1,A,Surface,NA,39,8,Kenai,Sample,NA,29-May,Kenai
Kenai.seqrun1.003.S3.L001,c19_fishcard_Kenai.seqrun1.003.S3.L001,"2, 2A",5/29/21,52386_108-214,Kenai_seqrun1_003,May,Bridge_Surface_May_2,2,Bridge,2,A,Surface,NA,39,8,Kenai,Sample,NA,29-May,Kenai
Kenai.seqrun1.004.S4.L001,c19_fishcard_Kenai.seqrun1.004.S4.L001,"2, 3A",5/29/21,52386_110-199,Kenai_seqrun1_004,May,Bridge_Surface_May_3,2,Bridge,3,A,Surface,NA,39,8,Kenai,Sample,NA,29-May,Kenai
Kenai.seqrun1.005.S5.L001,c19_fishcard_Kenai.seqrun1.005.S5.L001,"2, 2B",11/14/20,52386_12-128,Kenai_seqrun1_005,Nov.20,Bridge_5m_Nov.20_2,2,Bridge,2,B,5m,NA,39,8,Kenai,Sample,NA,14-Nov,Kenai
Kenai.seqrun1.006.S6.L001,c19_fishcard_Kenai.seqrun1.006.S6.L001,"2, 1A",7/24/21,52386_136-200,Kenai_seqrun1_006,Jul,Bridge_Surface_Jul_1,2,Bridge,1,A,Surface,NA,39,8,Kenai,Sample,NA,24-Jul,Kenai
Kenai.seqrun1.007.S7.L001,c19_fishcard_Kenai.seqrun1.007.S7.L001,"2, 2A",7/24/21,52386_137-201,Kenai_seqrun1_007,Jul,Bridge_Surface_Jul_2,2,Bridge,2,A,Surface,NA,39,8,Kenai,Sample,NA,24-Jul,Kenai
Kenai.seqrun1.008.S8.L001,c19_fishcard_Kenai.seqrun1.008.S8.L001,"2, 3A",7/24/21,52386_138-215,Kenai_seqrun1_008,Jul,Bridge_Surface_Jul_3,2,Bridge,3,A,Surface,NA,39,8,Kenai,Sample,NA,24-Jul,Kenai
Kenai.seqrun1.009.S9.L001,c19_fishcard_Kenai.seqrun1.009.S9.L001,"2, 1A",8/8/21,52386_150-216,Kenai_seqrun1_009,Aug,Bridge_Surface_Aug_1,2,Bridge,1,A,Surface,NA,39,8,Kenai,Sample,NA,8-Aug,Kenai
Kenai.seqrun1.010.S10.L001,c19_fishcard_Kenai.seqrun1.010.S10.L001,"2, 2A",8/8/21,52386_151-217,Kenai_seqrun1_010,Aug,Bridge_Surface_Aug_2,2,Bridge,2,A,Surface,NA,39,8,Kenai,Sample,NA,8-Aug,Kenai
Kenai.seqrun1.011.S11.L001,c19_fishcard_Kenai.seqrun1.011.S11.L001,"2, 3A",8/8/21,52386_152-218,Kenai_seqrun1_011,Aug,Bridge_Surface_Aug_3,2,Bridge,3,A,Surface,NA,39,8,Kenai,Sample,NA,8-Aug,Kenai
Kenai.seqrun1.012.S12.L001,c19_fishcard_Kenai.seqrun1.012.S12.L001,"2, 1B",8/8/21,52386_153-219,Kenai_seqrun1_012,Aug,Bridge_5m_Aug_1,2,Bridge,1,B,5m,NA,39,8,Kenai,Sample,NA,8-Aug,Kenai
Kenai.seqrun1.013.S13.L001,c19_fishcard_Kenai.seqrun1.013.S13.L001,"2, 2B",8/8/21,52386_154-195,Kenai_seqrun1_013,Aug,Bridge_5m_Aug_2,2,Bridge,2,B,5m,NA,39,8,Kenai,Sample,NA,8-Aug,Kenai
Kenai.seqrun1.014.S14.L001,c19_fishcard_Kenai.seqrun1.014.S14.L001,"2, 3B",8/8/21,52386_155-196,Kenai_seqrun1_014,Aug,Bridge_5m_Aug_3,2,Bridge,3,B,5m,NA,39,8,Kenai,Sample,NA,8-Aug,Kenai
Kenai.seqrun1.015.S15.L001,c19_fishcard_Kenai.seqrun1.015.S15.L001,"1,1B",1/23/21,52386_47-142,Kenai_seqrun1_015,Jan,Dock_5m_Jan_1,1,Dock,1,B,5m,NA,39,8,Kenai,Sample,NA,23-Jan,Kenai
Kenai.seqrun1.016.S16.L001,c19_fishcard_Kenai.seqrun1.016.S16.L001,"1,2B",1/23/21,52386_48-202,Kenai_seqrun1_016,Jan,Dock_5m_Jan_2,1,Dock,2,B,5m,NA,39,8,Kenai,Sample,NA,23-Jan,Kenai
Kenai.seqrun1.017.S17.L001,c19_fishcard_Kenai.seqrun1.017.S17.L001,"2, 1A",2/26/21,52386_65-203,Kenai_seqrun1_017,Feb,Bridge_Surface_Feb_1,2,Bridge,1,A,Surface,NA,39,8,Kenai,Sample,NA,26-Feb,Kenai
Kenai.seqrun1.018.S18.L001,c19_fishcard_Kenai.seqrun1.018.S18.L001,"2, 2A",2/26/21,52386_66-204,Kenai_seqrun1_018,Feb,Bridge_Surface_Feb_2,2,Bridge,2,A,Surface,NA,39,8,Kenai,Sample,NA,26-Feb,Kenai
Kenai.seqrun1.019.S19.L001,c19_fishcard_Kenai.seqrun1.019.S19.L001,"1, 3A",4/24/21,52386_89-205,Kenai_seqrun1_019,Apr,Dock_Surface_Apr_3,1,Dock,3,A,Surface,NA,39,8,Kenai,Sample,NA,24-Apr,Kenai
